	intron	intergenic	five_prime_UTR	three_prime_UTR	CDS
simulated_482	0.0	3.0	3.0	5.0	13.0
simulated_483	0.0	5.0	1.0	2.0	14.0
simulated_484	0.0	1.0	1.0	9.0	12.0
simulated_485	0.0	2.0	1.0	4.0	8.0
simulated_486	0.0	1.0	1.0	1.0	9.0
simulated_487	0.0	2.0	1.0	2.0	15.0
simulated_488	0.0	1.0	1.0	0.0	10.0
simulated_489	0.0	3.0	0.0	4.0	6.0
simulated_490	0.0	3.0	2.0	6.0	9.0
simulated_491	0.0	1.0	0.0	5.0	17.0
simulated_492	0.0	0.0	2.0	5.0	8.0
simulated_493	0.0	5.0	1.0	2.0	14.0
simulated_494	0.0	4.0	2.0	2.0	11.0
simulated_495	0.0	3.0	1.0	1.0	9.0
simulated_496	0.0	2.0	1.0	6.0	10.0
simulated_497	0.0	3.0	2.0	4.0	14.0
simulated_498	0.0	8.0	0.0	3.0	14.0
simulated_499	0.0	3.0	0.0	2.0	11.0
simulated_500	0.0	3.0	2.0	0.0	12.0
simulated_501	0.0	2.0	2.0	3.0	9.0
simulated_502	0.0	1.0	1.0	2.0	13.0
simulated_503	0.0	0.0	1.0	5.0	12.0
simulated_504	0.0	0.0	3.0	3.0	13.0
simulated_505	0.0	2.0	3.0	4.0	9.0
simulated_506	0.0	2.0	1.0	6.0	11.0
simulated_507	0.0	1.0	0.0	2.0	11.0
simulated_508	0.0	3.0	2.0	3.0	12.0
simulated_509	0.0	6.0	1.0	3.0	10.0
simulated_510	0.0	2.0	2.0	0.0	12.0
simulated_511	0.0	1.0	3.0	5.0	17.0
simulated_512	0.0	2.0	3.0	3.0	19.0
simulated_513	0.0	2.0	3.0	6.0	9.0
simulated_514	0.0	2.0	0.0	4.0	14.0
simulated_515	0.0	5.0	1.0	1.0	14.0
simulated_516	0.0	2.0	0.0	4.0	10.0
simulated_517	0.0	2.0	3.0	3.0	14.0
simulated_518	0.0	0.0	1.0	2.0	7.0
simulated_519	0.0	0.0	2.0	3.0	19.0
simulated_520	0.0	3.0	0.0	2.0	11.0
simulated_521	0.0	3.0	2.0	1.0	8.0
simulated_522	0.0	3.0	1.0	5.0	12.0
simulated_523	0.0	2.0	0.0	5.0	16.0
simulated_524	0.0	3.0	1.0	3.0	8.0
simulated_525	0.0	4.0	0.0	5.0	11.0
simulated_526	0.0	5.0	0.0	0.0	10.0
simulated_527	0.0	5.0	1.0	4.0	10.0
simulated_528	0.0	6.0	0.0	4.0	15.0
simulated_529	0.0	1.0	1.0	3.0	18.0
simulated_530	0.0	2.0	1.0	4.0	11.0
simulated_531	0.0	2.0	0.0	1.0	10.0
simulated_532	0.0	4.0	2.0	4.0	15.0
