CC2931-L1,CC2931-L2,CC2931-L3,CC2931-L4,CC2931-L5,CC2931-L6,CC2931-L7,CC2931-L9,CC2931-L10,CC2931-L11,CC2931-L13,CC2931-L14,CC2931-L15
CHLRE_01G028300V5,CHLRE_02G088900V5,CHLRE_03G209393V5,CHLRE_01G041752V5,CHLRE_01G043550V5,CHLRE_01G022250V5,CHLRE_03G210289V5,CHLRE_06G278164V5,CHLRE_10G428950V5,CHLRE_01G025983V5,CHLRE_02G116050V5,CHLRE_01G018350V5,CHLRE_01G007737V5
CHLRE_01G028900V5,CHLRE_02G090850V5,CHLRE_03G204913V5,CHLRE_01G044150V5,CHLRE_01G043700V5,CHLRE_01G022500V5,CHLRE_03G209393V5,CHLRE_06G290100V5,CHLRE_10G429450V5,CHLRE_01G026100V5,CHLRE_02G117150V5,CHLRE_01G018600V5,CHLRE_01G007774V5
CHLRE_01G029100V5,CHLRE_02G093350V5,CHLRE_03G204577V5,CHLRE_01G045902V5,CHLRE_01G045200V5,CHLRE_01G022700V5,CHLRE_04G216950V5,CHLRE_06G294200V5,CHLRE_10G430850V5,CHLRE_01G026500V5,CHLRE_02G118200V5,CHLRE_01G018800V5,CHLRE_01G007811V5
CHLRE_01G030250V5,CHLRE_02G093800V5,CHLRE_03G199087V5,CHLRE_01G046650V5,CHLRE_01G045601V5,CHLRE_01G023787V5,CHLRE_04G217000V5,CHLRE_06G297900V5,CHLRE_10G431850V5,CHLRE_01G026650V5,CHLRE_09G387950V5,CHLRE_01G018850V5,CHLRE_01G007850V5
CHLRE_01G030700V5,CHLRE_02G095200V5,CHLRE_04G217935V5,CHLRE_01G048102V5,CHLRE_01G050700V5,CHLRE_01G024050V5,CHLRE_04G212500V5,CHLRE_06G305251V5,CHLRE_10G434450V5,CHLRE_01G026700V5,CHLRE_09G389134V5,CHLRE_01G018900V5,CHLRE_01G007901V5
CHLRE_01G031250V5,CHLRE_02G098350V5,CHLRE_04G216102V5,CHLRE_01G048550V5,CHLRE_01G051350V5,CHLRE_01G024250V5,CHLRE_04G218350V5,CHLRE_06G307350V5,CHLRE_10G442500V5,CHLRE_01G026900V5,CHLRE_09G389875V5,CHLRE_01G018950V5,CHLRE_01G008000V5
CHLRE_01G031650V5,CHLRE_02G100100V5,CHLRE_04G220500V5,CHLRE_01G050451V5,CHLRE_01G051850V5,CHLRE_01G024251V5,CHLRE_04G219725V5,CHLRE_06G311200V5,CHLRE_10G448400V5,CHLRE_01G027000V5,CHLRE_09G391615V5,CHLRE_01G019000V5,CHLRE_01G008051V5
CHLRE_01G032050V5,CHLRE_02G100300V5,CHLRE_04G221150V5,CHLRE_01G051625V5,CHLRE_01G052150V5,CHLRE_01G024500V5,CHLRE_04G221850V5,CHLRE_07G314800V5,CHLRE_10G450400V5,CHLRE_01G027350V5,CHLRE_02G142950V5,CHLRE_01G019100V5,CHLRE_01G008100V5
CHLRE_01G033091V5,CHLRE_02G101150V5,CHLRE_04G221900V5,CHLRE_01G052150V5,CHLRE_01G052550V5,CHLRE_01G025050V5,CHLRE_04G223375V5,CHLRE_07G322400V5,CHLRE_10G454250V5,CHLRE_01G027550V5,CHLRE_02G141701V5,CHLRE_01G019200V5,CHLRE_01G008150V5
CHLRE_01G033150V5,CHLRE_02G102250V5,CHLRE_04G223050V5,CHLRE_01G052800V5,CHLRE_01G053600V5,CHLRE_01G025250V5,CHLRE_04G224350V5,CHLRE_07G325715V5,CHLRE_10G458100V5,CHLRE_01G027850V5,CHLRE_03G144264V5,CHLRE_01G019250V5,CHLRE_01G008200V5
CHLRE_01G033250V5,CHLRE_02G106050V5,CHLRE_04G223100V5,CHLRE_01G053288V5,CHLRE_01G055250V5,CHLRE_01G025750V5,CHLRE_04G224850V5,CHLRE_07G325732V5,CHLRE_10G463900V5,CHLRE_01G028350V5,CHLRE_03G144344V5,CHLRE_01G019450V5,CHLRE_01G008450V5
CHLRE_01G033950V5,CHLRE_02G106450V5,CHLRE_04G225100V5,CHLRE_01G053850V5,CHLRE_01G055316V5,CHLRE_01G026500V5,CHLRE_52G761647V5,CHLRE_07G329900V5,CHLRE_10G466500V5,CHLRE_01G028550V5,CHLRE_03G145747V5,CHLRE_01G019500V5,CHLRE_01G008500V5
CHLRE_01G034600V5,CHLRE_02G107000V5,CHLRE_04G225850V5,CHLRE_01G054100V5,CHLRE_01G055404V5,CHLRE_01G026750V5,CHLRE_04G228000V5,CHLRE_07G332450V5,CHLRE_11G467598V5,CHLRE_01G028600V5,CHLRE_03G145827V5,CHLRE_01G019600V5,CHLRE_01G008550V5
CHLRE_01G034900V5,CHLRE_02G109333V5,CHLRE_04G228950V5,CHLRE_01G054250V5,CHLRE_01G055408V5,CHLRE_01G027000V5,CHLRE_04G228950V5,CHLRE_07G336900V5,CHLRE_02G095129V5,CHLRE_01G029000V5,CHLRE_03G148201V5,CHLRE_01G019650V5,CHLRE_01G008700V5
CHLRE_01G035050V5,CHLRE_02G111750V5,CHLRE_04G233102V5,CHLRE_01G055453V5,CHLRE_01G055412V5,CHLRE_01G027900V5,CHLRE_04G232402V5,CHLRE_07G338350V5,CHLRE_02G095089V5,CHLRE_01G029500V5,CHLRE_03G149201V5,CHLRE_01G019850V5,CHLRE_01G008750V5
CHLRE_01G035550V5,CHLRE_02G112150V5,CHLRE_04G233202V5,CHLRE_01G060712V5,CHLRE_01G055600V5,CHLRE_01G028150V5,CHLRE_04G233003V5,CHLRE_07G346500V5,CHLRE_02G095087V5,CHLRE_01G029850V5,CHLRE_03G149700V5,CHLRE_01G019900V5,CHLRE_01G008800V5
CHLRE_01G036050V5,CHLRE_02G113850V5,CHLRE_04G233302V5,CHLRE_01G062537V5,CHLRE_01G059252V5,CHLRE_01G028200V5,CHLRE_04G233102V5,CHLRE_07G348750V5,CHLRE_12G491550V5,CHLRE_01G029900V5,CHLRE_03G151950V5,CHLRE_01G019950V5,CHLRE_01G008950V5
CHLRE_01G036550V5,CHLRE_02G114500V5,CHLRE_05G241600V5,CHLRE_02G075050V5,CHLRE_01G059617V5,CHLRE_01G028350V5,CHLRE_04G233202V5,CHLRE_07G351850V5,CHLRE_12G511200V5,CHLRE_01G030300V5,CHLRE_03G152600V5,CHLRE_01G020000V5,CHLRE_01G009150V5
CHLRE_01G036800V5,CHLRE_02G115500V5,CHLRE_05G243353V5,CHLRE_02G075600V5,CHLRE_01G060347V5,CHLRE_01G028600V5,CHLRE_04G233302V5,CHLRE_07G355650V5,CHLRE_12G513900V5,CHLRE_01G030950V5,CHLRE_03G152800V5,CHLRE_01G020050V5,CHLRE_01G009200V5
